year,reserve,polygon_id,date,point_id,veg_type,veg_status,radius,photo_id,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
2024,Q,F,2024-04-14,1,S,R,1.02,NA,NA,NA,NA,NA,NA,-122.14622374,38.4775587,331.019,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-04-14 11:32:19.6 UTC-07:00,2024-04-14 11:32:19.6 UTC-07:00,1,1.2,NA,NA,NA,-122.14631002,38.47757151,330.717,7.981,Global CS
2024,Q,F,2024-04-14,2,H,L,4.6,NA,NA,NA,NA,NA,NA,-122.14648419,38.4775619,325.138,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-04-14 11:38:54.8 UTC-07:00,2024-04-14 11:38:54.8 UTC-07:00,1,1.2,NA,NA,NA,-122.14631002,38.47757151,330.717,15.667,Global CS
2024,Q,F,2024-04-14,3,D,R,0.955,NA,NA,NA,NA,NA,NA,-122.14642259,38.47762367,326.561,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2024-04-14 12:03:00.6 UTC-07:00,2024-04-14 12:03:00.6 UTC-07:00,1,1.3,NA,NA,NA,-122.14631002,38.47757151,330.717,11.618,Global CS
2024,Q,F,2024-04-14,4,S,L,0.71,NA,NA,NA,NA,NA,NA,-122.14660625,38.47760601,321.553,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-04-14 12:06:40.0 UTC-07:00,2024-04-14 12:06:40.0 UTC-07:00,1,1.3,NA,NA,NA,-122.14631002,38.47757151,330.717,27.114,Global CS
2024,Q,F,2024-04-14,5,S,R,3,NA,NA,NA,NA,NA,NA,-122.14677386,38.47752106,316.475,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-04-14 12:09:49.2 UTC-07:00,2024-04-14 12:09:49.2 UTC-07:00,1,1.3,NA,NA,NA,-122.14631002,38.47757151,330.717,42.676,Global CS
2024,Q,F,2024-04-14,6,S,L,3.2,NA,NA,NA,NA,NA,NA,-122.14695811,38.47747447,312.298,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-04-14 12:16:31.8 UTC-07:00,2024-04-14 12:16:31.8 UTC-07:00,1,1.1,NA,NA,NA,-122.14631002,38.47757151,330.717,59.886,Global CS
2024,Q,F,2024-04-14,7,H,L,0.63,NA,NA,NA,NA,NA,NA,-122.14694077,38.47741598,309.852,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-04-14 12:18:46.2 UTC-07:00,2024-04-14 12:18:46.2 UTC-07:00,1,1.1,NA,NA,NA,-122.14631002,38.47757151,330.717,60.713,Global CS
2024,Q,F,2024-04-14,8,H,L,2,NA,NA,NA,NA,NA,NA,-122.14685253,38.47740251,310.987,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-04-14 12:22:40.6 UTC-07:00,2024-04-14 12:22:40.6 UTC-07:00,1,1,NA,NA,NA,-122.14631002,38.47757151,330.717,53.944,Global CS
2024,Q,F,2024-04-14,9,S,D,1.08,NA,NA,NA,NA,NA,NA,-122.14682146,38.47739696,311.558,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-04-14 12:24:42.0 UTC-07:00,2024-04-14 12:24:42.0 UTC-07:00,1,1.1,NA,NA,NA,-122.14631002,38.47757151,330.717,51.615,Global CS
2024,Q,F,2024-04-14,10,S,L,0.99,NA,NA,NA,NA,NA,NA,-122.14683577,38.47735148,309.551,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-04-14 12:30:31.2 UTC-07:00,2024-04-14 12:30:31.2 UTC-07:00,1,1.1,NA,NA,NA,-122.14631002,38.47757151,330.717,55.42,Global CS
